1.746167800	1.1
2.637868481	1.2
3.630226757	1.3
4.585986395	1.4
5.510136054	2.1
6.412176871	2.2
7.382222222	2.3
8.324013605	2.4
9.256417234	3.1
10.159274376	3.2
11.099501134	3.3
12.023174603	3.4
12.927324263	4.1
13.912108844	4.2
14.854875283	4.3
15.761111111	4.4
16.729659864	5.1
17.689546485	5.2
18.605873016	5.3
19.529206349	5.4
20.465850340	6.1
21.443061224	6.2
22.396462585	6.3
23.272721088	6.4
24.260090703	7.1
25.213083900	7.2
26.144081633	7.3
27.036734694	7.4
28.005600907	8.1
28.914036281	8.2
29.893151927	8.3
30.783990930	8.4
31.757324263	9.1
32.670090703	9.2
33.626213152	9.3
34.539319728	9.4
35.500136054	10.1
36.378888889	10.2
37.336462585	10.3
38.332766440	10.4
39.200113379	11.1
40.151451247	11.2
41.120702948	11.3
42.033287982	11.4
42.993582766	12.1
43.940226757	12.2
44.865759637	12.3
45.761065760	12.4
46.739682540	13.1
47.645396825	13.2
48.611587302	13.3
49.524784580	13.4
50.499092971	14.1
51.384489796	14.2
52.368072562	14.3
53.301360544	14.4
54.242380952	15.1
55.221836735	15.2
56.134648526	15.3
57.057414966	15.4
57.972517007	16.1
58.901473923	16.2
59.872789116	16.3
60.741678005	16.4
61.765011338	17.1
62.691904762	17.2
63.630997732	17.3
64.569297052	17.4
65.504331066	18.1
66.469659864	18.2
67.398321995	18.3
68.258480726	18.4
69.223356009	19.1
70.170997732	19.2
71.140362812	19.3
72.071179138	19.4
73.002539683	20.1
73.945918367	20.2
74.894263039	20.3
75.732335601	20.4
76.738435374	21.1
77.653015873	21.2
78.614739229	21.3
79.537369615	21.4
80.453378685	22.1
81.381111111	22.2
82.350272109	22.3
83.301927438	22.4
84.250748299	23.1
85.184603175	23.2
86.106666667	23.3
87.018866213	23.4
88.009614512	24.1
88.939501134	24.2
89.919614512	24.3
